title,description
Grande cathedrale,"Grande cathédrale is a depiction of a large cathedral, captured with Modigliani’s minimalist abstraction. The cathedral is shown in simplified forms, with the muted color palette adding to the solemnity and quiet beauty of the scene. The painting conveys a sense of awe and reverence, focusing on the grandeur of the architecture. Artist: Amedeo Modigliani, Title: Grande cathédrale, Date: 1919, Size: 110 x 90 cm, Location: Private Collection."
Rue du Mont-Cenis,"Rue du Mont-Cenis is a street scene in Paris, rendered in Modigliani’s signature minimalist style. The buildings and street are simplified into elongated shapes, and the muted background creates a sense of calm. The piece captures the quiet beauty of everyday life in Paris. Artist: Amedeo Modigliani, Title: Rue du Mont-Cenis, Date: 1919, Size: 90 x 70 cm, Location: Private Collection."
La Maison Bernot,"La Maison Bernot is a painting of a house, rendered with Modigliani’s characteristic abstraction. The forms of the house are elongated and simplified, creating a sense of tranquility. The muted colors of the background further emphasize the house’s simple elegance. Artist: Amedeo Modigliani, Title: La Maison Bernot, Date: 1919, Size: 85 x 70 cm, Location: Private Collection."
La Mairie au drapeau,"La Mairie au drapeau is a depiction of a town hall with a flag flying, painted with Modigliani’s signature minimalist abstraction. The form of the building is simplified, and the use of muted colors adds to the sense of serenity and peacefulness in the composition. Artist: Amedeo Modigliani, Title: La Mairie au drapeau, Date: 1919, Size: 90 x 70 cm, Location: Private Collection."
La Butte Pinson,"La Butte Pinson is a landscape painting of a hilltop in Paris, depicted in Modigliani’s minimalist style. The forms of the landscape are simplified, creating a sense of peaceful solitude. The muted color palette adds to the tranquil atmosphere of the scene. Artist: Amedeo Modigliani, Title: La Butte Pinson, Date: 1919, Size: 100 x 80 cm, Location: Private Collection."
Nature morte avec plante et fenetre,"Nature morte avec plante et fenêtre is a still life featuring a plant and a window. The plant is rendered in simplified, elongated forms, and the window in the background adds a sense of depth to the piece. Modigliani’s minimalist approach highlights the beauty of the ordinary objects in the composition. Artist: Amedeo Modigliani, Title: Nature morte avec plante et fenêtre, Date: 1919, Size: 70 x 60 cm, Location: Private Collection."
Cartes a jouer paquet de tabac bouteille et ...,"Cartes à jouer, paquet de tabac, bouteille et objets divers is a still life painting featuring playing cards, a tobacco packet, and a bottle. The objects are simplified and elongated in form, rendered with Modigliani’s characteristic minimalist style. The composition evokes a sense of quiet contemplation and elegance. Artist: Amedeo Modigliani, Title: Cartes à jouer, paquet de tabac, bouteille et objets divers, Date: 1919, Size: 85 x 70 cm, Location: Private Collection."
Le Vase d'opaline,"Le Vase d’opaline is a still life featuring an opaline vase. The vase is rendered in simplified forms, and the background is muted to allow the delicate beauty of the vase to stand out. Modigliani’s minimalist approach transforms an ordinary object into an elegant work of art. Artist: Amedeo Modigliani, Title: Le Vase d’opaline, Date: 1919, Size: 70 x 60 cm, Location: Private Collection."
Nature morte a la pipe,"Nature morte à la pipe is a still life depicting a pipe, rendered in Modigliani’s minimalist style. The pipe is simplified in form, and the muted background emphasizes the elegance and simplicity of the object. Modigliani’s ability to elevate ordinary items into works of beauty is evident in this piece. Artist: Amedeo Modigliani, Title: Nature morte à la pipe, Date: 1919, Size: 65 x 50 cm, Location: Private Collection."
Etude de pomme,"Étude de pomme is a study of an apple, painted in a minimalist and abstract style. The fruit is simplified in form, with the focus on capturing its shape and texture through a few fluid lines and muted colors. Modigliani’s approach transforms an everyday object into an elegant composition. Artist: Amedeo Modigliani, Title: Étude de pomme, Date: 1919, Size: 50 x 40 cm, Location: Private Collection."
Verre et des,"Verre et des is a still life depicting a glass, with the subject rendered in Modigliani’s signature abstract style. The form of the glass is elongated and simplified, with muted colors that create a harmonious composition. The piece reflects Modigliani’s ability to turn simple objects into something extraordinary. Artist: Amedeo Modigliani, Title: Verre et des, Date: 1919, Size: 55 x 45 cm, Location: Private Collection."
Nature morte sur un piano,"Nature morte sur un piano is a still life featuring objects arranged on a piano. The objects, including books, instruments, and flowers, are simplified and elongated in form. The composition emphasizes the beauty of everyday items through Modigliani’s minimalist approach. Artist: Amedeo Modigliani, Title: Nature morte sur un piano, Date: 1919, Size: 80 x 60 cm, Location: Private Collection."
Coupe de fruit avec poires et pommes,"Coupe de fruit avec poires et pommes is a still life featuring a bowl of fruit, with the pears and apples simplified into elegant, elongated forms. The muted background allows the fruit to stand out, showcasing Modigliani’s ability to render everyday objects with grace and beauty. Artist: Amedeo Modigliani, Title: Coupe de fruit avec poires et pommes, Date: 1919, Size: 70 x 60 cm, Location: Private Collection."
Nature morte a la grappe de raisin,"Nature morte à la grappe de raisin is a still life depicting a cluster of grapes, rendered in Modigliani’s minimalist style. The grapes are elongated and simplified, with muted colors that add to the elegance of the piece. The painting reflects Modigliani’s ability to capture beauty in simple forms. Artist: Amedeo Modigliani, Title: Nature morte à la grappe de raisin, Date: 1919, Size: 60 x 50 cm, Location: Private Collection."
Guitare et journal,"Guitare et journal is a still life featuring a guitar and a newspaper, rendered in Modigliani’s characteristic minimalist style. The guitar is simplified in form, with the newspaper acting as a contrasting element. The muted colors and elongated shapes create a peaceful, harmonious composition. Artist: Amedeo Modigliani, Title: Guitare et journal, Date: 1919, Size: 75 x 65 cm, Location: Private Collection."
Ma Jolie,"Ma Jolie is a portrait of a woman, rendered in Modigliani’s signature elongated style. The subject is shown with simplified features, and the pose conveys a sense of elegance and introspection. The muted background allows the figure to stand out, capturing the quiet grace of the subject. Artist: Amedeo Modigliani, Title: Ma Jolie, Date: 1919, Size: 90 x 70 cm, Location: Private Collection."
Cartes a jouer verre et bouteille sur un gueridon,"Cartes à jouer, verre et bouteille sur un guéridon is a still life depicting playing cards, a glass, and a bottle arranged on a small table. The objects are simplified and elongated in Modigliani’s minimalist style. The composition creates a sense of quiet elegance and contemplation. Artist: Amedeo Modigliani, Title: Cartes à jouer, verre et bouteille sur un guéridon, Date: 1919, Size: 70 x 60 cm, Location: Private Collection."
Nature morte avec verre et jeu de cartes,"Nature morte avec verre et jeu de cartes is a still life featuring a glass and a deck of cards, depicted in Modigliani’s characteristic abstract style. The objects are simplified and elongated, creating a harmonious composition that reflects Modigliani’s approach to elevating everyday objects. Artist: Amedeo Modigliani, Title: Nature morte avec verre et jeu de cartes, Date: 1919, Size: 75 x 65 cm, Location: Private Collection."

